Questions,Responses,Count
What city do you work in or near?,Aarhus,11
What city do you work in or near?,Copenhagen,11
What city do you work in or near?,Hjørring,1
What city do you work in or near?,Odense,2
What gender do you identify with?,Man,4
What gender do you identify with?,Woman,19
What gender do you identify with?,NA,2
How do you perceive your skill/knowledge of [data analysis in general?],Advanced,2
How do you perceive your skill/knowledge of [data analysis in general?],Beginner,4
How do you perceive your skill/knowledge of [data analysis in general?],Beginner-Intermediate,8
How do you perceive your skill/knowledge of [data analysis in general?],Intermediate,10
How do you perceive your skill/knowledge of [data analysis in general?],Intermediate-Advanced,1
How do you perceive your skill/knowledge of [formal version control (e.g. Git)?],Beginner,24
How do you perceive your skill/knowledge of [formal version control (e.g. Git)?],Beginner-Intermediate,1
How do you perceive your skill/knowledge of [programming in general?],Advanced,1
How do you perceive your skill/knowledge of [programming in general?],Beginner,20
How do you perceive your skill/knowledge of [programming in general?],Beginner-Intermediate,2
How do you perceive your skill/knowledge of [programming in general?],Intermediate,2
How do you perceive your skill/knowledge of [using R?],Beginner,17
How do you perceive your skill/knowledge of [using R?],Beginner-Intermediate,6
How do you perceive your skill/knowledge of [using R?],Intermediate,2
What programs have you previously used for data analysis?,Excel,6
What programs have you previously used for data analysis?,"Excel, SPSS and a bit of Stata",1
What programs have you previously used for data analysis?,Graphpad,2
What programs have you previously used for data analysis?,GraphPad Prism,1
What programs have you previously used for data analysis?,"graphpad, spss",1
What programs have you previously used for data analysis?,"none, started with R",1
What programs have you previously used for data analysis?,Prism,1
What programs have you previously used for data analysis?,"prism, SPSS, excel (you couldn't select multiple on the Q)",1
What programs have you previously used for data analysis?,SAS,1
What programs have you previously used for data analysis?,sas jmp,1
What programs have you previously used for data analysis?,sigmaplot,1
What programs have you previously used for data analysis?,SigmaPlot,1
What programs have you previously used for data analysis?,SPSS,2
What programs have you previously used for data analysis?,Stata,5
What is your formal position?,PhD student,11
What is your formal position?,Postdoc,11
What is your formal position?,Project manager,1
What is your formal position?,Research assistant,2
How often do you currently use: [dplyr],Few times a month,1
How often do you currently use: [dplyr],Few times a week,1
How often do you currently use: [dplyr],Haven't used R,4
How often do you currently use: [dplyr],Never,14
How often do you currently use: [dplyr],Once a month,5
How often do you currently use: [ggplot2],Few times a month,1
How often do you currently use: [ggplot2],Haven't used R,4
How often do you currently use: [ggplot2],Never,14
How often do you currently use: [ggplot2],Once a month,6
How often do you currently use: [GitHub/GitLab and Git],Haven't used R,3
How often do you currently use: [GitHub/GitLab and Git],Never,18
How often do you currently use: [GitHub/GitLab and Git],Once a month,4
How often do you currently use: [pipe (%>%)],Few times a month,1
How often do you currently use: [pipe (%>%)],Few times a week,1
How often do you currently use: [pipe (%>%)],Haven't used R,4
How often do you currently use: [pipe (%>%)],Never,15
How often do you currently use: [pipe (%>%)],Once a month,3
How often do you currently use: [pipe (%>%)],Once a week,1
How often do you currently use: [R Markdown],Few times a month,2
How often do you currently use: [R Markdown],Few times a week,1
How often do you currently use: [R Markdown],Haven't used R,4
How often do you currently use: [R Markdown],Never,17
How often do you currently use: [R Markdown],Once a month,1
How often do you currently use: [tidyr],Few times a month,2
How often do you currently use: [tidyr],Few times a week,1
How often do you currently use: [tidyr],Haven't used R,4
How often do you currently use: [tidyr],Never,16
How often do you currently use: [tidyr],Once a month,2
