Questions,Responses
TO WHAT EXTENT DO YOU THINK THE OVERALL PROGRAMME WAS WELL COMPOSED?,The course was well organized
TO WHAT EXTENT DO YOU THINK THE OVERALL PROGRAMME WAS WELL COMPOSED?,It was easy to follow and with space to make mistakes and ask for help
TO WHAT EXTENT DO YOU THINK THE OVERALL PROGRAMME WAS WELL COMPOSED?,"It is probably impossible to find the perfect sequence of sessions - like do you start with R markdown before Git and so on. I would have liked that the group work was in the end after all the individual sessions. This would have made it more representative of starting a ""real"" project in R."
TO WHAT EXTENT DO YOU THINK THE OVERALL PROGRAMME WAS WELL COMPOSED?,I thought it was very well organized and you could tell that a lot of planning/consideration had gone into the scheduling.
TO WHAT EXTENT DO YOU THINK THE SCIENTIFIC LEVEL OF THE PROGRAMME WAS SUITABLE FOR AN INTRODUCTORY COURSE?,Too much time spent learning programs outside R
TO WHAT EXTENT DO YOU THINK THE SCIENTIFIC LEVEL OF THE PROGRAMME WAS SUITABLE FOR AN INTRODUCTORY COURSE?,"Sometimes if went too fast in the coding along sessions. If you had problems with your coding and needed help, then it sometimes was hard to follow the instructions and understand the new instructions of coding."
TO WHAT EXTENT DO YOU THINK THE SCIENTIFIC LEVEL OF THE PROGRAMME WAS SUITABLE FOR AN INTRODUCTORY COURSE?,I could have used a bit more introduction e.g. how to read in a dataset ect
TO WHAT EXTENT DO YOU THINK THE SCIENTIFIC LEVEL OF THE PROGRAMME WAS SUITABLE FOR AN INTRODUCTORY COURSE?,"I think that there could have been less time spent on plot captions/colours and R Markdown style options, and more time spent on application of certain functions/commands/tools."
TO WHAT EXTENT DID YOU FIND THE PRE-COURSE MATERIAL AND TASKS VALUABLE FOR YOUR OUTCOME OF THE COURSE?,I would add exercises to do after the course
TO WHAT EXTENT DID YOU FIND THE PRE-COURSE MATERIAL AND TASKS VALUABLE FOR YOUR OUTCOME OF THE COURSE?,Absolutely necessary to have things installed and running beforehand!
TO WHAT EXTENT DID YOU FIND THE PRE-COURSE MATERIAL AND TASKS VALUABLE FOR YOUR OUTCOME OF THE COURSE?,It was a useful opportunity to install appropriate software and begin to familiarise myself with the tools that we would be using during the course.
TO WHAT EXTENT WERE THE LECTURES AND CODE-ALONGS BALANCED THROUHOUT THE COURSE?,It was really good to spent most of the time in working in the computer rather than listening lectures
TO WHAT EXTENT WERE THE LECTURES AND CODE-ALONGS BALANCED THROUHOUT THE COURSE?,more coding better
TO WHAT EXTENT WERE THE LECTURES AND CODE-ALONGS BALANCED THROUHOUT THE COURSE?,I learned most from the code along sessions
TO WHAT EXTENT WERE THE LECTURES AND CODE-ALONGS BALANCED THROUHOUT THE COURSE?,I would have liked more lectures (particularly on the Open Science content that Daniel touched on in the last day).
TO WHAT EXTENT WERE YOU SATISFIED WITH THE GROUP WORK?,I would add half of an hour more
TO WHAT EXTENT WERE YOU SATISFIED WITH THE GROUP WORK?,We could have needed a bit more time and more guidance
TO WHAT EXTENT WERE YOU SATISFIED WITH THE GROUP WORK?,A little more time would have been good. It was a little stressfull at times
