id,survey_item,response
58706d33b4,I think I learned a lot from this course,Strongly agree
58706d33b4,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
58706d33b4,I think the content on the website clearly communicated the concepts,Strongly agree
58706d33b4,I think the instructors clearly communicated the concepts,Strongly agree
58706d33b4,I think there was good alignment between the learning activities,Strongly agree
58706d33b4,"In general, I think this is a good course",Strongly agree
58706d33b4,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
562e5847df,I think I learned a lot from this course,Strongly agree
562e5847df,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
562e5847df,I think the content on the website clearly communicated the concepts,Strongly agree
562e5847df,I think the instructors clearly communicated the concepts,Strongly agree
562e5847df,I think there was good alignment between the learning activities,Strongly agree
562e5847df,"In general, I think this is a good course",Strongly agree
562e5847df,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
3fdc089a16,I think I learned a lot from this course,Agree
3fdc089a16,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
3fdc089a16,I think the content on the website clearly communicated the concepts,Strongly agree
3fdc089a16,I think the instructors clearly communicated the concepts,Strongly agree
3fdc089a16,I think there was good alignment between the learning activities,Agree
3fdc089a16,"In general, I think this is a good course",Strongly agree
3fdc089a16,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral
8b09d582a5,I think I learned a lot from this course,Strongly agree
8b09d582a5,I think there was a good mix of learning activities that encouraged my active participation,Agree
8b09d582a5,I think the content on the website clearly communicated the concepts,Strongly agree
8b09d582a5,I think the instructors clearly communicated the concepts,Agree
8b09d582a5,I think there was good alignment between the learning activities,Agree
8b09d582a5,"In general, I think this is a good course",Strongly agree
8b09d582a5,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
3ca0c84cb3,I think I learned a lot from this course,Agree
3ca0c84cb3,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
3ca0c84cb3,I think the content on the website clearly communicated the concepts,Strongly agree
3ca0c84cb3,I think the instructors clearly communicated the concepts,Agree
3ca0c84cb3,I think there was good alignment between the learning activities,Strongly agree
3ca0c84cb3,"In general, I think this is a good course",Strongly agree
3ca0c84cb3,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral
2764b7ed9a,I think I learned a lot from this course,Strongly agree
2764b7ed9a,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
2764b7ed9a,I think the content on the website clearly communicated the concepts,Strongly agree
2764b7ed9a,I think the instructors clearly communicated the concepts,Strongly agree
2764b7ed9a,I think there was good alignment between the learning activities,Agree
2764b7ed9a,"In general, I think this is a good course",Strongly agree
2764b7ed9a,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
736403ccda,I think I learned a lot from this course,Strongly agree
736403ccda,I think there was a good mix of learning activities that encouraged my active participation,Agree
736403ccda,I think the content on the website clearly communicated the concepts,Agree
736403ccda,I think the instructors clearly communicated the concepts,Strongly agree
736403ccda,I think there was good alignment between the learning activities,Agree
736403ccda,"In general, I think this is a good course",Strongly agree
736403ccda,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
750ff7f23a,I think I learned a lot from this course,Strongly agree
750ff7f23a,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
750ff7f23a,I think the content on the website clearly communicated the concepts,Neutral
750ff7f23a,I think the instructors clearly communicated the concepts,Agree
750ff7f23a,I think there was good alignment between the learning activities,Agree
750ff7f23a,"In general, I think this is a good course",Strongly agree
750ff7f23a,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
902d60e412,I think I learned a lot from this course,Strongly agree
902d60e412,I think there was a good mix of learning activities that encouraged my active participation,Agree
902d60e412,I think the content on the website clearly communicated the concepts,Strongly agree
902d60e412,I think the instructors clearly communicated the concepts,Strongly agree
902d60e412,I think there was good alignment between the learning activities,Agree
902d60e412,"In general, I think this is a good course",Strongly agree
902d60e412,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
a2ecc59763,I think I learned a lot from this course,Strongly agree
a2ecc59763,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
a2ecc59763,I think the content on the website clearly communicated the concepts,Strongly agree
a2ecc59763,I think the instructors clearly communicated the concepts,Strongly agree
a2ecc59763,I think there was good alignment between the learning activities,Strongly agree
a2ecc59763,"In general, I think this is a good course",Strongly agree
a2ecc59763,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
b361b8c77d,I think I learned a lot from this course,Strongly agree
b361b8c77d,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
b361b8c77d,I think the content on the website clearly communicated the concepts,Strongly agree
b361b8c77d,I think the instructors clearly communicated the concepts,Strongly agree
b361b8c77d,I think there was good alignment between the learning activities,Strongly agree
b361b8c77d,"In general, I think this is a good course",Strongly agree
b361b8c77d,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
c1389f7c46,I think I learned a lot from this course,Strongly agree
c1389f7c46,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
c1389f7c46,I think the content on the website clearly communicated the concepts,Agree
c1389f7c46,I think the instructors clearly communicated the concepts,Agree
c1389f7c46,I think there was good alignment between the learning activities,Strongly agree
c1389f7c46,"In general, I think this is a good course",Strongly agree
c1389f7c46,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
0062e149c8,I think I learned a lot from this course,Agree
0062e149c8,I think there was a good mix of learning activities that encouraged my active participation,Agree
0062e149c8,I think the content on the website clearly communicated the concepts,Neutral
0062e149c8,I think the instructors clearly communicated the concepts,Agree
0062e149c8,I think there was good alignment between the learning activities,Disagree
0062e149c8,"In general, I think this is a good course",Agree
0062e149c8,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral
2ed5e42531,I think I learned a lot from this course,Agree
2ed5e42531,I think there was a good mix of learning activities that encouraged my active participation,Agree
2ed5e42531,I think the content on the website clearly communicated the concepts,Agree
2ed5e42531,I think the instructors clearly communicated the concepts,Agree
2ed5e42531,I think there was good alignment between the learning activities,Agree
2ed5e42531,"In general, I think this is a good course",Agree
2ed5e42531,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
4da4680531,I think I learned a lot from this course,Agree
4da4680531,I think there was a good mix of learning activities that encouraged my active participation,Agree
4da4680531,I think the content on the website clearly communicated the concepts,Agree
4da4680531,I think the instructors clearly communicated the concepts,Agree
4da4680531,I think there was good alignment between the learning activities,Agree
4da4680531,"In general, I think this is a good course",Agree
4da4680531,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral
40fde5b15c,I think I learned a lot from this course,Strongly agree
40fde5b15c,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
40fde5b15c,I think the content on the website clearly communicated the concepts,Strongly agree
40fde5b15c,I think the instructors clearly communicated the concepts,Strongly agree
40fde5b15c,I think there was good alignment between the learning activities,Agree
40fde5b15c,"In general, I think this is a good course",Strongly agree
