day,session,worked_well,could_be_improved
Day 1,Management of R projects,Group sessions,Nothing
Day 1,Management of R projects,Code-along,It runs really good.
Day 1,Management of R projects,The hands on were really great,Maybe we need more pre course work to prevent errors?
Day 1,Management of R projects,Very nice decriptions,A bit confusing with all the abrreivation and what the commands are used for.
Day 1,Management of R projects,everything,i don´t know
Day 1,Management of R projects,code-along and help from instructor and helpers,"start with overview of the purpose of codes, as code-along is detail oriented"
Day 1,Management of R projects,learned alot got alot of help,"it was great, happy to be back in person"
Day 1,Management of R projects,The hands-on exercises,Maybe a bit more explanation of what the packages are or why we are doing this (but that could be way too advanced - I don't know yet)
Day 1,Management of R projects,"Intro to structure of file-system and teaching of ""good habits"" when coding in R",Explanation of the use of prodigenr and mentioning alternatives
Day 1,Management of R projects,The hands-on and explanation. The pace of the class,Nothing specific
Day 1,Management of R projects,getting started,"personally, I find it difficult to type a lot of commands without using hte commands on a dataset, but we have to start somewhere"
Day 1,Management of R projects,great introduction,not much
Day 1,Management of R projects,The code along sessions,"To get a better understanding of the purpose of the different tasks, data examples would be good."
Day 1,Management of R projects,Nice with code along,"8.7: Clone it to your desktop, was not really clear"
Day 1,Management of R projects,code-along,more time
Day 1,Management of R projects,It gave a nice introduction to R studio,"I am still somehow confused about how Rstudio works, but I expect it to change within the next two days :-)"
Day 1,Management of R projects,"Everything! Especially, code-along and help from the instructors.",More consistence in introduction in why are we doing the small.
Day 1,Management of R projects,"I think that everything worked well but I am a bit confused in general. However, I guess everything will fall into place during the next days:-)",I don´t have any specific feedback.
Day 1,Management of R projects,"BAsically everything worked well. The material is clear and it's nice that most of the coding is done as ""code along"".",Perhaps a little more pre-course preparation would be nice to get some background knowledge of git - basically just reading the material that we read during the day. I just find it hard to concentrate on reading rather than listening or watching during the course day.
Day 1,Management of R projects,There was good time for the practise part of the sessíon,a bit more information on why we load the different packages/background on how R works
Day 1,Management of R projects,"The whole thing worked well. Especially, the combined code-along and reading-time.","Maybe a little more explanation for certain steps - what does it mean, what does it do, why do we do it. But otherwise very good"
Day 1,Management of R projects,Coding along worked very well,I don't know
Day 1,Management of R projects,Very nice that everything is written out in the booklet/material if you loose track (or like me have too bad eyesight to see what is being typed on the overhead).,Maybe a little tiny bit more explanation on the progedinr.
Day 1,Management of R projects,"Learning the style of ""good code"", how to make a R project, the general structure/setup of a project, the code-alongs",Knowing how to store variables seemed misplaced. Although for less experienced users it might have been needed.
Day 1,Management of R projects,"Everything! Especially, code-along and help from the instructors.",More consistence in introduction in why are we doing the small.
Day 1,Management of R projects,following the instructions,understanding what the instructions more- why exactly we put the code the way we do. There could be like slide presentation with few examples where arrows indicate what is what - pre course material for the very beginners
Day 1,Version control and collaborative practices,Everything,Nothing
Day 1,Version control and collaborative practices,The stepwise approach,"I would like to move faster, but I guess this would be difficult"
Day 1,Version control and collaborative practices,This was a really practical session. It is clear why we need version control.,This one moved a lot slower for some reason. Maybe people had more complicated errors.
Day 1,Version control and collaborative practices,Very nice decriptions,nothing
Day 1,Version control and collaborative practices,everything,i don´t know
Day 1,Version control and collaborative practices,code-along and help from instructor and helpers,"start with overview of the purpose of codes, as code-along is detail oriented"
Day 1,Version control and collaborative practices,all,better projector
Day 1,Version control and collaborative practices,Hands-on exercises,can't think of anything
Day 1,Version control and collaborative practices,Introduction to using git,More information on how to collaborate with others and how to collaborate on e.g. a manuscript.
Day 1,Version control and collaborative practices,Practice exercises and pace,"Got slightly tired by the EOD, (might not be a productive feedback :/). Slightly worried if I will remember this tomorrow."
Day 1,Version control and collaborative practices,"The alternation between read-youself, lectures and the asignments","Not much, better than the morning session"
Day 1,Version control and collaborative practices,very interesting and great to be hands on,it is a bit long towards the end of the day
