Questions,Responses
What do you expect to learn and what would you like to be able to do with what you've learned?,After this course I would like to be able to carry out statistical tests and analyses related to my epidemiological research on my own
What do you expect to learn and what would you like to be able to do with what you've learned?,"Better project management, I hope this will pay off in saving time and more transparency"
What do you expect to learn and what would you like to be able to do with what you've learned?,"Clean-up, import and visualise data. Run different (common) analyses and interpret the data."
What do you expect to learn and what would you like to be able to do with what you've learned?,data analysis using R with RNA seq data
What do you expect to learn and what would you like to be able to do with what you've learned?,Do my own analysis
What do you expect to learn and what would you like to be able to do with what you've learned?,"How to organize my data and scripts, how to use R for simple statistics and plotting"
What do you expect to learn and what would you like to be able to do with what you've learned?,"I expect to be able to code in R at a beginners level being a solid fundament to learn further  skills in R. Of particular interest, I want to improve my graphical coding skills."
What do you expect to learn and what would you like to be able to do with what you've learned?,"I expect to have a general notion of how R language works, and as mentioned before, to start learning R to use it in my research as soon as possible"
What do you expect to learn and what would you like to be able to do with what you've learned?,"I expect to learn about collaborating on projects, Management of R projects, management, analysis and visualization of the collaborative projects etc."
What do you expect to learn and what would you like to be able to do with what you've learned?,I expect to learn and apply collaborative techniques using R.  I would like to apply these techniques to my research and to be able to work with large data sets and conduct reproducible research.
What do you expect to learn and what would you like to be able to do with what you've learned?,"I expect to learn how to navigate in and get a basic understanding of R. I want to use that to be able to start working in R, and create figures and tables for my project."
What do you expect to learn and what would you like to be able to do with what you've learned?,I expect to learn how to use the basic tools of R and to visualize my data.
What do you expect to learn and what would you like to be able to do with what you've learned?,I expect to learn how to wrangle my data in a format that is easy to work with in R. I also expect to be more independent in my data analysis once I have passed the course
What do you expect to learn and what would you like to be able to do with what you've learned?,I expect to learn the basics of R/RStudio and were to get help. I would like to know about and apply some of the fundamental tools of R/RStudio.
What do you expect to learn and what would you like to be able to do with what you've learned?,"I expect to learn the basics of using R, and I hope to be able to use R for statistical analysis in future projects"
What do you expect to learn and what would you like to be able to do with what you've learned?,"I expect to learn, how to use R and R-studio. How to upload my data to the program (from excel and RedCap), how to analyse the basic statistic formulas (mean, median, t-test, SD, confidence interval) and how to create some statistic figures useful for publication (plots, graph, charts). And then I expect to learn something new and hopefully very useful in my further research career (both statistic and when writing articles and collaborate with other)"
What do you expect to learn and what would you like to be able to do with what you've learned?,I expect to optimize my data analysis workflow.
What do you expect to learn and what would you like to be able to do with what you've learned?,I have performed transcriptomics and proteomics analysis during my phd and I think these type of analysis would have benefited from R based analysis. I am taking this course to get started using R in my current and future projects.
What do you expect to learn and what would you like to be able to do with what you've learned?,I hope to learn how to use Github and R in unison for projects making it easier to share code and reuse it
What do you expect to learn and what would you like to be able to do with what you've learned?,I want to gain a better understanding of what it means to perform reproducible research and learn how to use R.
What do you expect to learn and what would you like to be able to do with what you've learned?,I want to learn basic workflow in R and do datamanagement and vizualation of data. With this knowledge I want to do all my advanced analyzes and graphs for publication in R.
What do you expect to learn and what would you like to be able to do with what you've learned?,"I would like to improve my data and code literacy, and to conduct a modern and reproducible data analysis"
What do you expect to learn and what would you like to be able to do with what you've learned?,Learn how to create an algorithm for clear and systematic data analyses.
What do you expect to learn and what would you like to be able to do with what you've learned?,Learn more about how to organize my work in R and how to apply it on my data
What do you expect to learn and what would you like to be able to do with what you've learned?,own data analysis
What do you expect to learn and what would you like to be able to do with what you've learned?,Sequencing data
What do you expect to learn and what would you like to be able to do with what you've learned?,Some R basics on how to handle big data sets and how to visualize them. I would like to some it for especially visualization of the data I work with myself.
What do you expect to learn and what would you like to be able to do with what you've learned?,statistical analysis
What do you expect to learn and what would you like to be able to do with what you've learned?,to be able to manage my results
What do you expect to learn and what would you like to be able to do with what you've learned?,useful data
Please describe the problems you've had.,"Error: Must install the following packages to use bs4_book():
* bslib
Execution halted

library(""sass"")
Error: package ‘sass’ is not installed for 'arch = x64'
library(""bslib"")
DLL ‘sass’ not found: maybe not installed for this architecture?"
Please describe the problems you've had.,Git in the R studio
Please describe the problems you've had.,"I can easily download packages from CRAN but they are not automatically installed. I need to ""activate"" them in the sidebar afterwards. This is not the case in the video. R says that: ""‘lib’ is unspecified"". How to handle this?"
Please describe the problems you've had.,The IT servicedesk at RegionH have to approve installing Git and Rtools and it takes longer than expected.
Please describe the problems you've had.,"Trying to install the packages, this error appears:

> install.packages(""remotes"")
trying URL 'https://cran.rstudio.com/bin/macosx/contrib/4.1/remotes_2.4.2.tgz'
Content type 'application/x-gzip' length 395393 bytes (386 KB)
==================================================
downloaded 386 KB"
Please describe the problems you've had.,When I do the check_setup it seems something is not working right
"In your opinion, what could be improved?","Depending on what is taught at the course, maybe you could create some small optional tasks/tutorials on how to use RStudio for complete beginners."
"In your opinion, what could be improved?",error debug
"In your opinion, what could be improved?","Everything worked in my hands, I have no suggestions"
"In your opinion, what could be improved?","For now, I do not know exactly."
"In your opinion, what could be improved?",How to install and input the code into R
"In your opinion, what could be improved?",I do not know - sorry.
"In your opinion, what could be improved?","I got a bit lost in what I need to read (syllabus, git website, rmarkdown webpage, assignment) and moving back and forth the different documents, but that might just be me :)"
"In your opinion, what could be improved?",I just noticed that the videos were a bit different from the results I got when installing r3. I thought that the videos might be outdated? But it worked fine :)
"In your opinion, what could be improved?","I know I might have missed some previous information bit I am from regionH, and for me the reminder for installing additional software could be at least 14 days. I have waited a week to get Git and Rtools installed already."
"In your opinion, what could be improved?",I think it was a really thorough guide that made it easy to start.
"In your opinion, what could be improved?",I think it was good.
"In your opinion, what could be improved?",I'm not sure i have everything installed correct so I don't Know
"In your opinion, what could be improved?","If the pre-course tasks would be sent earlier before the course date, it would be great because it takes almost a day to set all the tasks."
"In your opinion, what could be improved?",Installing the Git and having it in the R studio software
"In your opinion, what could be improved?","Maybe more specifically how to setup Git. It was not immediately evident as to what Homebrew was, versus other avenues,"
"In your opinion, what could be improved?","Maybe you should include more of the ""Version control with Git"" in the pre-course material."
"In your opinion, what could be improved?",Messages on the console are not always as shown and it left me wondering if it was fine or not. But the final verification suggests everything is fine :)
"In your opinion, what could be improved?","More detailed information about Rtools and how to link Rtools with R in windows. A video would help a lot. Even though I followed the instructions, I am still uncertain whether R and Git runs as it should - a way to check this would be great!"
"In your opinion, what could be improved?",none
"In your opinion, what could be improved?",None
"In your opinion, what could be improved?",None
"In your opinion, what could be improved?",Nothing
"In your opinion, what could be improved?",Nothing so far
"In your opinion, what could be improved?","Nothing, everything went very smoothly"
"In your opinion, what could be improved?",Perhaps  more links to prepare for the course so it is not overwhelming the first day. I can't really say at this stage.
"In your opinion, what could be improved?",Specific issues in Mac
"In your opinion, what could be improved?",The installation of git was difficult. Maybe could be better explained. Maybe with a video?
"In your opinion, what could be improved?",There is a lot of information on the website and in the beginning it was quite overwhelming and difficult to navigate between various tasks and information.
"In your opinion, what could be improved?",There was a lot of going back and forth between different links and windows
"In your opinion, what could be improved?","When I should install the programme for Git, I was in doubt whether source for downloading the program, I should choose. I was chosen Apple, because I have an apple account. It took long time, but it seems to work."
"In your opinion, what worked well?",All links worked fine and tasks were easy to follow. I feel I now have the very basic concepts for learning R.
"In your opinion, what worked well?","All the information and set-up. Fantastic materials.  First I was thinking, it was written very detailed, but when you start the process that is perfect!"
"In your opinion, what worked well?",All the instructions or commands provided in the pre-course tasks worked well.
"In your opinion, what worked well?",Detailed description on how to interpret the coding. Great videos.
"In your opinion, what worked well?",Downloading the softwares
"In your opinion, what worked well?",everything
"In your opinion, what worked well?",Everything so far :)
"In your opinion, what worked well?",Everything was fairly smooth.
"In your opinion, what worked well?","Everything worked in my hands, I have no suggestions"
"In your opinion, what worked well?",For this type of a course it is necessary to get started with the setup before the course. The basic explanations worked well in general.
"In your opinion, what worked well?",Having all the links and code lines ready
"In your opinion, what worked well?","I feel assured that all the programmes I need for the course is properly set up on my computer, and I got a good understanding of the function of the different programmes."
"In your opinion, what worked well?",I have never tried any pre-course preparation that worked that well. It provided me with an important overview of the course aims and content (and helped me with installation).
"In your opinion, what worked well?",I think the installation guide worked really well for getting ready for the course both with R and Git.
"In your opinion, what worked well?",I'm not sure i have everything installed correct so I don't Know
"In your opinion, what worked well?",instructions were clear and easy to apply
"In your opinion, what worked well?",intallation
"In your opinion, what worked well?",It was really easy to follow and understand the tasks and the rules.
"In your opinion, what worked well?",My mind was blown my the amount of work and effort that has been put into this material. I have never seen anything similar. It could not be more perfect!
