Day,Time,Session topic,icon,link
Day 1,,"Arrival. Coffee, tea, and snacks",,
Day 1,10:00,Introduction to the course,chalkboard-teacher,slides/introduction.html
Day 1,10:30,Management of R projects (with short break),laptop-code,r-project-management.html
Day 1,12:30,Lunch,,
Day 1,13:30,Collaboration and teamwork in research,chalkboard-teacher,slides/collaboration-teamwork.html
Day 1,14:00,Version control and collaborative practices,laptop-code,version-control.html
Day 1,14:30,"Break with coffee, tea, and snacks",,
Day 1,15:30,Version control and collaborative practices,laptop-code,version-control.html
Day 1,17:30,End-of-day short survey,,
Day 2,9:00,Data management and wrangling,laptop-code,wrangling.html
Day 2,10:15,"Break with coffee, tea, and snacks",,
Day 2,10:30,Data management and wrangling (with short break),laptop-code,wrangling.html
Day 2,12:15,Lunch,,
Day 2,13:15,Research in the era of (ir)reproducibility and open science,chalkboard-teacher,slides/open-reproducible-science-era.html
Day 2,14:00,Creating reproducible documents,laptop-code,reproducible-documents.html
Day 2,14:45,"Break with coffee, tea, and snacks",,
Day 2,15:00,Creating reproducible documents,laptop-code,reproducible-documents.html
Day 2,17:00,End-of-day short survey,,
Day 3,9:00,Data visualizations,laptop-code,visualization.html
Day 3,10:15,"Break with coffee, tea, and snacks",,
Day 3,11:00,Data visualizations (with short break),laptop-code,visualization.html
Day 3,12:15,Lunch,,
Day 3,13:15,Group work,users,assignment.html
Day 3,15:30,Presentation of projects and discussions,,
Day 3,16:45,Closing remarks and short survey,chalkboard-teacher,slides/next-steps.html
Day 3,17:00,Farewell,,
