Date and time,Session topic,Type
**Day 1**,,
,Arrival; coffee and snacks,
10:00,Introduction to the course,Lecture
10:30,Management of R projects (with short coffee break),Code-along
12:30,Lunch,
13:30,"Data management and wrangling",Code-along
14:30,Coffee break and snacks,
15:00,Finding and obtaining open datasets,Lecture
15:30,"Data management and wrangling (with short break)",Code-along
17:30,End of day short survey,
**Day 2**,,
,Breakfast,
8:30,Collaboration and teamwork in research,Lecture
9:00,Version control and collaborative practices,Code-along
10:15,Coffee break and snacks,
10:30,Version control and collaborative practices,Code-along
12:15,Lunch,
13:15,Data visualization,Code-along
14:45,Coffee break and snacks,
15:00,Data visualization,Code-along
17:00,End of day short survey,
**Day 3**,,
,Breakfast and checkout,
8.30,Group Work
10.00,Research in the era of (ir)reproducibility and open science,Lecture
10:45,Coffee break and snacks,
11.00,Creating reproducible documents,Code-along,
12:15,Lunch,
13.15,Creating reproducible documents,Code-along,
14:30,"Group work: Presentation of projects, and discussions",
16.00,Closing remarks and short survey,
17.00,Farewell,
